county,"RIFLE,7.62 MILLIMETER","RIFLE,5.56 MILLIMETER","TRUCK,CARGO","PISTOL,CALIBER .45,AUTOMATIC","REVOLVER,CALIBER .38 SPECIAL","ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",TOOL KIT,"ILLUMINATOR,INFRARED",PLATOON EARLY WARNI,"SPECTACLES SET,BALL","CAMOUFLAGE NET SYSTEM,RADAR SCATTERING","HOLSTER,PISTOL",BINOCULAR,OPTICAL SIGHTING AND RANGING EQUIPMENT,"SPECTACLE KIT,INTER","SAFETY GLASSES,REVI","GOGGLES,INDUSTRIAL","IMAGE INTENSIFIER,NIGHT VISION",None,"BOOTS,COMBAT",NIGHT VISION GOGGLE,CASE SHIPPING,"GAITER,NECK","GENERATOR SET,DIESE",FIBERSCOPE,PROJECTION SCREEN,INSECT NET PROTECTO,"SHELTER HALF,TENT","LINER,WET WEATHER P","BAG,FLYER'S HELMET","GLOVES,FLYERS'","COVERALLS,COMBAT VE","JACKET,COLD WEATHER","VEST,TACTICAL LOAD","UNDERSHIRT,COLD WEA","SHIRT,COLD WEATHER","OVERALLS,COLD WEATH","ELBOW,PAD","ELBOW,PADS","GLOVES,MEN'S AND WO",PULLOVER FLEECE  POLARTEC  CO,"CASE,SMALL ARMS AMM",BAG DUFFEL,"BAG,CLOTHING",FIELD PACK,"MAT,SLEEPING","CANTEEN,WATER","MAT,SLEEPING,SELF-I",SLEEPING BAG,BIVY COVER,"POUCH,RADIO",LID,MEDIC BAG,EXTERNAL MEDICAL MO,RIFLEMAN SET,"MAGAZINE,CARTRIDGE","LAUNCHER,GRENADE","CAMOUFLAGE SCREENING SYSTEM,SNOW LIGHT WEIGHT RADAR SCATTERING",CAMOUFLAGE SCREENING SYSTEM,"LINER,COLD WEATHER","HOOD,COLD WEATHER","GOGGLES,SUN,WIND AN","BARREL,CARBINE","TRUCK,UTILITY",LIGHT ARMORED VEHICLE,MINE RESISTANT VEHICLE,"pct_RIFLE,7.62_of_total","pct_RIFLE,5.56_of_total","pct_TRUCK,CARGO_of_total"
ADAMS,0.01491049604686644067408861578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
BUFFALO,0,0.07188731910518216324995380943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.00
BURT,0.002485082674477740112348102630,0.03309841996876874149634646837,0.05623850139415929254248640953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.06
BUTLER,0.002485082674477740112348102630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
CASS,0,0.2915290102689864831797350253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.00
CHASE,0,0.008643765824270400390776009149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
COLFAX,0.002485082674477740112348102630,0.01512659019247320068385801601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAKOTA,0,0.01797182977629554081248845236,0,0.005286203036905366738983953095,0E+2,0.1800784546723000081411668573,0E+2,0.3399607504961922257692855692,0.4490616424163145303016277920,0.01667706568720170375395346265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAWES,0,0.01512659019247320068385801601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DAWSON,0.02982099209373288134817723157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DIXON,0,0.04492957444073885203122113089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DODGE,0.01739557872134418078643671841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
DOUGLAS,0.03976132279164384179756964209,0.1258028084340687856874191665,0,0,0,0,0,0,0,0,0.3903200505022102676459791632,0.001236598748234684155905392809,0.01502124429648990517909543340,0E+2,0.04035071957378627972421568121,0.07318388397882272330857021080,0.08432443757712456331222349842,74.47441622423176131691388308,0.1537960042128778219529635545,0.006828575001173616308713047228,11.34494264435490051289351201,0.01117927046605638450540363850,0.003399881224213024153705230265,0.3608592153178219863140842653,0.1350608218672264014059646958,0.001350588410042250061058751430,0.03020347873145684656546906997,0.01766569640335263079864846870,0.03147645332753533532301897848,0.002711441292000821222581549370,0.007267606273664683728561212026,0.01957488817978835548496111972,0.01481055250452331416957026818,0.02212263815649205600014234842,0.04106329001892457085643027847,0.1506284241951920648097604294,0.01171500386870647702962360990,0.005307812451466042739960893118,0.002123124980586417095984357247,0.004899934751633283221521150187,0.009536054567171646931115490927,0.003723122050349802668318624774,0.01591893539303132071967915018,0.01290262127727029558331460532,0.2941559947657459956984983674,0.0003248615322288292146866650105,0.005305111274645958239838775615,0.006394946082322717889109117436,0.07156767984813883073550323825,0.06880797753028583311073985617,0.04042761307393135182769195946,0.1633311583877761073840383396,0.01800784546723000081411668573,0.004902635928453367721643267689,0.3038733883367726487378120133,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.00
FILLMORE,0,0.02877653705663354130095846379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
GAGE,0.009940330697910960449392410522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
GREELEY,0.007455248023433220337044307891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
HALL,0.01739557872134418078643671841,0.03594365955259108162497690471,0,0,0,0,0,0,0,0,0,0,0.01231736629958532055685581304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01741718813590485678741365844,0.003905001289568825676541203300,0,0,0,0,0,0,0,0,0,0,0.006394946082322717889109117436,0,0,0,0,0,0,0,0.007455248023433220337044307891,0.01296564873640560058616401372,0.02380637170767806107626225853,0.06799762448426048307410460531,0.01089600705685685659259758303,0.004218337800698627690706833632,0.01286300401724238958152354862,0,0,0,0,0.0,0.0,0.00
HOLT,0.01491049604686644067408861578,0.008985914888147770406244226178,0,0.001057240607381073347796790619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
HOWARD,0,0.01114685634421537050393822847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
JEFFERSON,0.004970165348955480224696205261,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
KEITH,0.002485082674477740112348102630,0.02229371268843074100787645693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
KIMBALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001800784546723000081411668573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01166908386276504052754761235,0.3043686040871214737602002222,0,0,0.0,0.0,0.00
LANCASTER,0,0.02160941456067600097694002287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4898133967086560221439738518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0E+2,7.419232332498760335416074520,0.0,0.0,0.00
MADISON,0.004970165348955480224696205261,0.07188731910518216324995380943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01296564873640560058616401372,0,0,0,0,0,0,0,0,0,0.0,0.1,0.00
MCPHERSON,0,0.008985914888147770406244226178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NANCE,0.004970165348955480224696205261,0.01114685634421537050393822847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NEMAHA,0.002485082674477740112348102630,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NUCKOLLS,0,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
POLK,0.009940330697910960449392410522,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
RED WILLOW,0.009940330697910960449392410522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
SARPY,0,0.01296564873640560058616401372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8476112782970489083196582805,0,0,0.0,0.0,0.00
SAUNDERS,0,0.008985914888147770406244226178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
THURSTON,0,0.03594365955259108162497690471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
WHEELER,0,0.002160941456067600097694002287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
YORK,0,0.03127962757657851141412068311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
